Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 11/22  17:00:00,1.71334139,4.378639627,0,3.563692247,0,0.126367203,0.126367203,0.126367203,0.50900068,0.115987232,0.434564651,0.504021624
 11/22  18:00:00,2.459306814,5.815811221,0,4.837314028,0,0.171600087,0.171600087,0.171600087,0.903735932,0.205936484,0.542328589,0.612305722
 11/22  19:00:00,2.90933386,6.31720119,0,5.190907925,0,0.184191394,0.184191394,0.184191394,1.236144588,0.281683279,0.489135394,0.664779206
 11/22  20:00:00,2.8484401,7.58437231,0,6.434059207,0,0.228346834,0.228346834,0.228346834,1.236144588,0.281683279,0.392682536,0.686182864
 11/22  21:00:00,2.747342544,8.525483104,0,7.459949514,0,0.264796477,0.264796477,0.264796477,1.142654688,0.260379501,0.34633896,0.709772917
 11/22  22:00:00,2.517126587,9.092073043,0,8.13274685,0,0.288699299,0.288699299,0.288699299,0.966062662,0.220139033,0.325623251,0.693202343
 11/22  23:00:00,2.106731975,10.35696555,0,9.572535898,0,0.339839655,0.339839655,0.339839655,0.716756139,0.16332896,0.26352943,0.599877791
 11/22  24:00:00,1.699614145,10.79971988,0,10.20266836,0,0.362219945,0.362219945,0.362219945,0.498612913,0.113620146,0.180478502,0.521282639
 11/23  01:00:00,1.286057735,11.40208439,0,11.0032377,0,0.390633239,0.390633239,0.390633239,0.259694289,0.059177159,0.121972906,0.431180143
 11/23  02:00:00,1.122583859,11.74045846,0,11.43159925,0,0.40583203,0.40583203,0.40583203,0.155816494,0.035506296,0.105025705,0.397003334
 11/23  03:00:00,1.050735032,12.04131669,0,11.75666624,0,0.417360429,0.417360429,0.417360429,0.103877703,0.023670861,0.090025644,0.392400397
 11/23  04:00:00,1.059490673,12.70073649,0,12.40961421,0,0.440534426,0.440534426,0.440534426,0.103877703,0.023670861,0.081130812,0.386876872
 11/23  05:00:00,1.070998573,13.16913644,0,12.8087998,0,0.454732111,0.454732111,0.454732111,0.103877703,0.023670861,0.093055352,0.372262546
 11/23  06:00:00,1.152099706,13.7678119,0,13.09766451,0,0.465024542,0.465024542,0.465024542,0.114265469,0.02603795,0.107956662,0.415415083
 11/23  07:00:00,1.416166455,15.30851112,0,14.06084297,0,0.499262284,0.499262284,0.499262284,0.197367691,0.044974641,0.171190562,0.479971277
 11/23  08:00:00,1.791470586,15.09645327,0,13.68812137,0,0.486121887,0.486121887,0.486121887,0.384347484,0.087582196,0.262513577,0.510005442
 11/23  09:00:00,1.602705136,11.34782404,0,9.984513046,0,0.354548249,0.354548249,0.354548249,0.373959718,0.08521511,0.334401917,0.431180143
 11/23  10:00:00,1.341778189,9.406064776,0,8.17155896,0,0.290077585,0.290077585,0.290077585,0.207755457,0.047341728,0.406234251,0.366969169
 11/23  11:00:00,1.268720945,7.567173953,0,6.480552236,0,0.229992725,0.229992725,0.229992725,0.176592027,0.040240468,0.422896049,0.375599676
 11/23  12:00:00,1.201512565,5.008519248,0,4.054555868,0,0.143852702,0.143852702,0.143852702,0.176592027,0.040240468,0.441712618,0.375714749
 11/23  13:00:00,1.130057282,3.348636741,0,2.498474646,0,0.088616725,0.088616725,0.088616725,0.176592027,0.040240468,0.431822351,0.369385711
 11/23  14:00:00,1.066957437,2.261752567,0,1.472312649,0,0.052207609,0.052207609,0.052207609,0.176592027,0.040240468,0.392358472,0.382158861
 11/23  15:00:00,1.063362982,1.611065225,0,0.881453898,0,0.031251634,0.031251634,0.031251634,0.197367691,0.044974641,0.362691423,0.403677593
 11/23  16:00:00,1.207299708,1.831155984,0,1.092372599,0,0.038725377,0.038725377,0.038725377,0.280469821,0.063911332,0.374676266,0.426116912
 11/23  17:00:00,1.725264674,4.716477769,0,3.899762498,0,0.138290487,0.138290487,0.138290487,0.50900068,0.115987232,0.434564651,0.504021624
 11/23  18:00:00,2.458615546,5.798513464,0,4.817633812,0,0.170908819,0.170908819,0.170908819,0.903735932,0.205936484,0.542328589,0.612305722
 11/23  19:00:00,2.920097208,6.622979279,0,5.493981181,0,0.194954742,0.194954742,0.194954742,1.236144588,0.281683279,0.489135394,0.664779206
 11/23  20:00:00,2.85109101,7.661482625,0,6.508332357,0,0.230997744,0.230997744,0.230997744,1.236144588,0.281683279,0.392682536,0.686182864
 11/23  21:00:00,2.744454626,8.446513834,0,7.378312222,0,0.261908559,0.261908559,0.261908559,1.142654688,0.260379501,0.34633896,0.709772917
 11/23  22:00:00,2.53837305,9.691496146,0,8.730096583,0,0.309945761,0.309945761,0.309945761,0.966062662,0.220139033,0.325623251,0.693202343
 11/23  23:00:00,2.105201497,10.31460443,0,9.528464106,0,0.338309176,0.338309176,0.338309176,0.716756139,0.16332896,0.26352943,0.599877791
 11/23  24:00:00,1.713297469,11.18508042,0,10.58697548,0,0.375903269,0.375903269,0.375903269,0.498612913,0.113620146,0.180478502,0.521282639
 11/24  01:00:00,1.28911091,11.48700406,0,11.08774222,0,0.393686414,0.393686414,0.393686414,0.259694289,0.059177159,0.121972906,0.431180143
 11/24  02:00:00,1.129208107,11.92578194,0,11.61671567,0,0.412456278,0.412456278,0.412456278,0.155816494,0.035506296,0.105025705,0.397003334
 11/24  03:00:00,1.065363563,12.45168992,0,12.16702872,0,0.431988959,0.431988959,0.431988959,0.103877703,0.023670861,0.090025644,0.392400397
 11/24  04:00:00,1.081495675,13.317984,0,13.02691553,0,0.462539428,0.462539428,0.462539428,0.103877703,0.023670861,0.081130812,0.386876872
 11/24  05:00:00,1.08652389,13.6037253,0,13.24319506,0,0.470257428,0.470257428,0.470257428,0.103877703,0.023670861,0.093055352,0.372262546
